second,position

0.02,a
38.54,b
44.3,c
56.74,b
62.78,a

161.32,b
168.8,c
179.6,e

199.78,a
211.84,b
220.72,c
239.46,b
242.64,a

336.66,b
337.24,a
338.2,b
342.16,c
349.18,b
352.62,c
358.0,d
382.94,a
396.6,b
415.72,c
449.02,d
488.84,c
493.48,b
496.86,a
596.94,b
601.42,c
614.74,e
629.5,a
639.18,b
645.36,c
665.46,e
698.94,c
703.32,b
706.52,a
812.42,b
817.82,c
832.84,d
859.06,a
872.06,b
879.8,c
914.22,b
920.34,a
1018.4,b
1024.24,c
1028.72,e
1049.9,a
1056.54,b
1060.66,c
1123.96,d
1176.66,c
1186.24,b
1193.28,a
1316.72,b
1322.22,c
1330.66,e
1343.58,a
1354.08,b
1361.0,c
1376.12,b
1379.16,a
1478.86,b
1488.52,c
1519.26,e
1620.9,a
1646.46,b
1671.3,a
1776.84,b
1790.84,c
1818.26,e
1945.06,b
1945.08,a
1958.84,b
1968.38,c
1982.18,b
1985.68,a
2086.1,b
2094.48,c
2105.84,b
2107.08,c
2107.24,b
2107.34,c
2107.36,b
2107.36,c
2115.04,d
2135.96,a
2154.96,b
2161.28,c
2176.46,d
2207.94,c
2211.36,b
2214.0,a
2335.3,b
2342.86,c
2358.0,e
2392.98,b

